Electricity_Demand_MW,H2_Demand_tonne,Solar_Capacity_Factor,NG_Demand_MMBtu
11619,14.69,0,14.69
11190,11.71,0,11.71
10634,9.1,0,9.1
9951,6.56,0,6.56
9283,4.47,0,4.47
8761,1.62,0,1.62
8474,1.22,0,1.22
8336,1.75,0,1.75
8275,4,0,4
8330,8.24,0,8.24
8557,13.41,0,13.41
8959,16.79,0,16.79
9399,19.24,0,19.24
9982,20.24,0.2175,20.24
10341,21.43,0.4081,21.43
10483,25.41,0.5613,25.41
10481,27.06,0.5322,27.06
10418,27.86,0.5679,27.86
10339,27.33,0.5247,27.33
10308,27.06,0.4229,27.06
10326,25.94,0.3114,25.94
10808,24.61,0.109,24.61
11527,21.76,0,21.76
11531,18.12,0,18.12
11320,13.81,0,13.81
10905,10.5,0,10.5
10222,7.32,0,7.32
9458,4.53,0,4.53
8683,2.68,0,2.68
8126,2.49,0,2.49
7842,1.8,0,1.8
7727,1.66,0,1.66
7733,2.46,0,2.46
7973,4.43,0,4.43
8704,7.27,0,7.27
10034,10.98,0,10.98
10781,15,0,15
10942,18.95,0.109,18.95
11033,21.02,0.3235,21.02
11119,21.68,0.3563,21.68
11103,22.62,0.3784,22.62
10996,24.07,0.3346,24.07
10921,25.15,0.2609,25.15
10803,26.32,0.2381,26.32
10808,26.98,0.1307,26.98
11301,25.67,0.0266,25.67
12019,23.24,0,23.24
11919,19.29,0,19.29
11541,14.93,0,14.93
10997,11.4,0,11.4
10197,8.83,0,8.83
9194,6.2,0,6.2
8285,3.95,0,3.95
7707,1.69,0,1.69
7341,1.24,0,1.24
7162,1.74,0,1.74
7116,4.05,0,4.05
7319,8.71,0,8.71
7994,14,0,14
9337,17.32,0,17.32
10078,19.85,0,19.85
10153,20.91,0.1008,20.91
10111,20.01,0.3571,20.01
10123,19.9,0.5425,19.9
10081,20.63,0.6327,20.63
9965,21.93,0.6563,21.93
9889,22.77,0.6462,22.77
9783,24.62,0.5642,24.62
9791,26.14,0.3954,26.14
10281,25.41,0.1551,25.41
11182,23.89,0,23.89
11192,19.68,0,19.68
10926,14.45,0,14.45
10493,10.46,0,10.46
9776,7.87,0,7.87
8880,4.67,0,4.67
8042,2.64,0,2.64
7503,1.76,0,1.76
7232,1.29,0,1.29
7111,1.82,0,1.82
7117,4.23,0,4.23
7346,9.1,0,9.1
8087,14.62,0,14.62
9490,18.08,0,18.08
10273,20.72,0,20.72
10338,21.84,0.2189,21.84
10396,20.9,0.4091,20.9
10443,20.78,0.5094,20.78
10416,21.54,0.5486,21.54
10312,22.89,0.5372,22.89
10256,23.77,0.4018,23.77
10138,25.71,0.4305,25.71
10122,27.3,0.3475,27.3
10578,26.53,0.1858,26.53
11573,24.95,0,24.95
11640,20.54,0,20.54
11375,15.09,0,15.09
10958,10.92,0,10.92
10211,8.22,0,8.22
9243,4.87,0,4.87
8385,2.76,0,2.76
7825,1.86,0,1.86
7539,1.36,0,1.36
7404,1.92,0,1.92
7398,4.46,0,4.46
7632,9.61,0,9.61
8343,15.44,0,15.44
9737,19.1,0,19.1
10482,21.89,0,21.89
10532,23.07,0.1243,23.07
10500,22.07,0.3369,22.07
10474,21.95,0.5427,21.95
10405,22.76,0.5165,22.76
10322,24.18,0.4801,24.18
10314,25.11,0.4327,25.11
10285,27.16,0.3182,27.16
10364,28.83,0.1995,28.83
10868,28.03,0.0683,28.03
11660,26.35,0,26.35
11630,21.7,0,21.7
11361,15.94,0,15.94
10911,11.53,0,11.53
10191,8.68,0,8.68
9244,5.15,0,5.15
8396,2.91,0,2.91
7822,2.86,0,2.86
7494,2.02,0,2.02
7343,1.96,0,1.96
7289,2.74,0,2.74
7482,5.09,0,5.09
8142,8.36,0,8.36
9388,12.69,0,12.69
10233,17.24,0,17.24
10494,21.85,0,21.85
10665,24.2,0.003,24.2
10780,24.98,0.0852,24.98
10817,26.13,0.1324,26.13
10743,27.76,0.1041,27.76
10657,28.98,0.1276,28.98
10516,30.4,0.1108,30.4
10468,31.19,0.0825,31.19
10788,29.64,0.0043,29.64
11254,26.81,0,26.81
11088,22.28,0,22.28
10715,17.32,0,17.32
10312,13.22,0,13.22
9767,10.32,0,10.32
9041,7.2,0,7.2
8305,4.66,0,4.66
7713,2.88,0,2.88
7356,3.71,0,3.71
7174,1.36,0,1.36
7106,2.12,0,2.12
7170,3.96,0,3.96
7470,6.5,0,6.5
7989,9.93,0,9.93
8543,14.06,0,14.06
9129,18.37,0.2499,18.37
9504,23.64,0.4155,23.64
9671,27.01,0.5324,27.01
9578,27.7,0.4953,27.7
9397,27.58,0.5597,27.58
9152,26.75,0.6671,26.75
9002,26.18,0.6148,26.18
9005,25.04,0.4365,25.04
9435,23.83,0.195,23.83
10341,21.36,0,21.36
10416,18.37,0,18.37
10112,14.69,0,14.69
9802,11.71,0,11.71
9331,9.1,0,9.1
8730,6.56,0,6.56
8088,4.47,0,4.47
7567,1.62,0,1.62
7254,1.22,0,1.22
7088,1.75,0,1.75
7034,4,0,4
7101,8.24,0,8.24
7312,13.41,0,13.41
7699,16.79,0,16.79
8090,19.24,0,19.24
8673,20.24,0.2679,20.24
9069,21.43,0.4889,21.43
9285,25.41,0.6489,25.41
9361,27.06,0.7238,27.06
9332,27.86,0.7197,27.86
9237,27.33,0.6822,27.33
9137,27.06,0.5905,27.06
9177,25.94,0.44,25.94
9706,24.61,0.238,24.61
10782,21.76,0,21.76
10950,18.12,0,18.12
10691,13.81,0,13.81
10288,10.5,0,10.5
9638,7.32,0,7.32
8849,4.53,0,4.53
8115,2.68,0,2.68
7619,2.49,0,2.49
7374,1.8,0,1.8
7278,1.66,0,1.66
7307,2.46,0,2.46
7571,4.43,0,4.43
8318,7.27,0,7.27
9726,10.98,0,10.98
10481,15,0,15
10580,18.95,0.2215,18.95
10670,21.02,0.448,21.02
10661,21.68,0.6102,21.68
10615,22.62,0.6827,22.62
10532,24.07,0.6919,24.07
10454,25.15,0.6824,25.15
10343,26.32,0.6061,26.32
10379,26.98,0.4429,26.98
10817,25.67,0.2227,25.67
11845,23.24,0,23.24
11974,19.29,0,19.29
11692,14.93,0,14.93
11253,11.4,0,11.4
10485,8.83,0,8.83
9509,6.2,0,6.2
8633,3.95,0,3.95
8084,1.69,0,1.69
7784,1.24,0,1.24
7640,1.74,0,1.74
7626,4.05,0,4.05
7846,8.71,0,8.71
8557,14,0,14
9910,17.32,0,17.32
10659,19.85,0,19.85
10732,20.91,0.2201,20.91
10721,20.01,0.4205,20.01
10670,19.9,0.5658,19.9
10547,20.63,0.6243,20.63
10366,21.93,0.6336,21.93
10220,22.77,0.6206,22.77
10048,24.62,0.5519,24.62
9990,26.14,0.4038,26.14
10334,25.41,0.2062,25.41
11293,23.89,0,23.89
11423,19.68,0,19.68
11148,14.45,0,14.45
10694,10.46,0,10.46
9971,7.87,0,7.87
9016,4.67,0,4.67
8164,2.64,0,2.64
7617,1.76,0,1.76
7315,1.29,0,1.29
7170,1.82,0,1.82
7170,4.23,0,4.23
7373,9.1,0,9.1
8095,14.62,0,14.62
9447,18.08,0,18.08
10228,20.72,0,20.72
10305,21.84,0.0461,21.84
10312,20.9,0.1938,20.9
10304,20.78,0.3902,20.78
10283,21.54,0.3957,21.54
10177,22.89,0.4156,22.89
10079,23.77,0.4371,23.77
9877,25.71,0.5286,25.71
9792,27.3,0.4206,27.3
10075,26.53,0.2085,26.53
10970,24.95,0,24.95
11092,20.54,0,20.54
10820,15.09,0,15.09
10384,10.92,0,10.92
9678,8.22,0,8.22
8738,4.87,0,4.87
7904,2.76,0,2.76
7365,1.86,0,1.86
7087,1.36,0,1.36
6960,1.92,0,1.92
6971,4.46,0,4.46
7203,9.61,0,9.61
7953,15.44,0,15.44
9355,19.1,0,19.1
10098,21.89,0,21.89
10236,23.07,0.1455,23.07
10329,22.07,0.2427,22.07
10429,21.95,0.3104,21.95
10452,22.76,0.3464,22.76
10410,24.18,0.3283,24.18
10392,25.11,0.2946,25.11
10359,27.16,0.2536,27.16
10453,28.83,0.175,28.83
10905,28.03,0.034,28.03
11580,26.35,0,26.35
11613,21.7,0,21.7
11346,15.94,0,15.94
10934,11.53,0,11.53
10226,8.68,0,8.68
9304,5.15,0,5.15
8477,2.91,0,2.91
7935,2.86,0,2.86
7646,2.02,0,2.02
7543,1.96,0,1.96
7558,2.74,0,2.74
7791,5.09,0,5.09
8547,8.36,0,8.36
9940,12.69,0,12.69
10626,17.24,0,17.24
10710,21.85,0.2753,21.85
10685,24.2,0.4988,24.2
10660,24.98,0.6555,24.98
10557,26.13,0.727,26.13
10365,27.76,0.7355,27.76
10235,28.98,0.7286,28.98
10076,30.4,0.6589,30.4
10023,31.19,0.4977,31.19
10322,29.64,0.2796,29.64
11148,26.81,0,26.81
11260,22.28,0,22.28
10982,17.32,0,17.32
10613,13.22,0,13.22
10061,10.32,0,10.32
9309,7.2,0,7.2
8499,4.66,0,4.66
7901,2.88,0,2.88
7570,3.71,0,3.71
7387,1.36,0,1.36
7316,2.12,0,2.12
7371,3.96,0,3.96
7638,6.5,0,6.5
8163,9.93,0,9.93
8703,14.06,0,14.06
9272,18.37,0.2573,18.37
9619,23.64,0.4428,23.64
9738,27.01,0.5817,27.01
9663,27.7,0.5987,27.7
9503,27.58,0.6564,27.58
9303,26.75,0.6124,26.75
9178,26.18,0.5068,26.18
9189,25.04,0.4084,25.04
9551,23.83,0.2368,23.83
10473,21.36,0,21.36
10674,18.37,0,18.37
10427,14.69,0,14.69
10133,11.71,0,11.71
9685,9.1,0,9.1
9087,6.56,0,6.56
8459,4.47,0,4.47
7956,1.62,0,1.62
7671,1.22,0,1.22
7538,1.75,0,1.75
7501,4,0,4
7559,8.24,0,8.24
7779,13.41,0,13.41
8146,16.79,0,16.79
8595,19.24,0,19.24
9189,20.24,0.2891,20.24
9570,21.43,0.5073,21.43
9729,25.41,0.6627,25.41
9782,27.06,0.7274,27.06
9742,27.86,0.7364,27.86
9604,27.33,0.7298,27.33
9506,27.06,0.6666,27.06
9559,25.94,0.508,25.94
9975,24.61,0.2905,24.61
10870,21.76,0,21.76
10727,18.12,0,18.12
10204,13.81,0,13.81
9940,10.5,0,10.5
9511,7.32,0,7.32
9184,4.53,0,4.53
8431,2.68,0,2.68
7866,2.49,0,2.49
7599,1.8,0,1.8
7502,1.66,0,1.66
7529,2.46,0,2.46
7768,4.43,0,4.43
8497,7.27,0,7.27
9827,10.98,0,10.98
10489,15,0.0007,15
10582,18.95,0.2746,18.95
10526,21.02,0.492,21.02
10498,21.68,0.6453,21.68
10405,22.62,0.7063,22.62
10220,24.07,0.7157,24.07
10077,25.15,0.7094,25.15
9898,26.32,0.6458,26.32
9825,26.98,0.4907,26.98
10130,25.67,0.2821,25.67
11094,23.24,0,23.24
11372,19.29,0,19.29
11090,14.93,0,14.93
10602,11.4,0,11.4
9842,8.83,0,8.83
8928,6.2,0,6.2
8095,3.95,0,3.95
7570,1.69,0,1.69
7296,1.24,0,1.24
7187,1.74,0,1.74
7201,4.05,0,4.05
7441,8.71,0,8.71
8197,14,0,14
9544,17.32,0,17.32
10218,19.85,0.0032,19.85
10289,20.91,0.2384,20.91
10297,20.01,0.4037,20.01
10306,19.9,0.4987,19.9
10273,20.63,0.5164,20.63
10169,21.93,0.5155,21.93
10091,22.77,0.5077,22.77
9965,24.62,0.4962,24.62
9973,26.14,0.3746,26.14
10317,25.41,0.2158,25.41
11227,23.89,0,23.89
11454,19.68,0,19.68
11223,14.45,0,14.45
10814,10.46,0,10.46
10112,7.87,0,7.87
9190,4.67,0,4.67
8397,2.64,0,2.64
7897,1.76,0,1.76
7658,1.29,0,1.29
7580,1.82,0,1.82
7627,4.23,0,4.23
7884,9.1,0,9.1
8679,14.62,0,14.62
10080,18.08,0,18.08
10760,20.72,0,20.72
10844,21.84,0.2567,21.84
10789,20.9,0.4516,20.9
10722,20.78,0.5729,20.78
10601,21.54,0.5979,21.54
10436,22.89,0.6425,22.89
10348,23.77,0.6437,23.77
10257,25.71,0.5573,25.71
10355,27.3,0.3212,27.3
10783,26.53,0.1424,26.53
11617,24.95,0,24.95
11749,20.54,0,20.54
11456,15.09,0,15.09
11004,10.92,0,10.92
10258,8.22,0,8.22
9264,4.87,0,4.87
8424,2.76,0,2.76
7872,1.86,0,1.86
7595,1.36,0,1.36
7465,1.92,0,1.92
7474,4.46,0,4.46
7725,9.61,0,9.61
8508,15.44,0,15.44
9893,19.1,0,19.1
10531,21.89,0.0009,21.89
10533,23.07,0.291,23.07
10448,22.07,0.5064,22.07
10389,21.95,0.6688,21.95
10273,22.76,0.7318,22.76
10107,24.18,0.7417,24.18
10000,25.11,0.7336,25.11
9842,27.16,0.6768,27.16
9815,28.83,0.5196,28.83
10105,28.03,0.3089,28.03
11015,26.35,0.0174,26.35
11357,21.7,0,21.7
11150,15.94,0,15.94
10778,11.53,0,11.53
10113,8.68,0,8.68
9187,5.15,0,5.15
8383,2.91,0,2.91
7882,2.86,0,2.86
7621,2.02,0,2.02
7510,1.96,0,1.96
7532,2.74,0,2.74
7775,5.09,0,5.09
8506,8.36,0,8.36
9834,12.69,0,12.69
10504,17.24,0.0002,17.24
10505,21.85,0.2979,21.85
10390,24.2,0.5138,24.2
10310,24.98,0.6683,24.98
10177,26.13,0.7254,26.13
9970,27.76,0.7336,27.76
9853,28.98,0.7183,28.98
9719,30.4,0.6142,30.4
9674,31.19,0.4189,31.19
9959,29.64,0.2042,29.64
10755,26.81,0,26.81
10886,22.28,0,22.28
10576,17.32,0,17.32
10178,13.22,0,13.22
9627,10.32,0,10.32
8895,7.2,0,7.2
8162,4.66,0,4.66
7613,2.88,0,2.88
7306,3.71,0,3.71
7122,1.36,0,1.36
7055,2.12,0,2.12
7132,3.96,0,3.96
7415,6.5,0,6.5
7941,9.93,0,9.93
